Variable,Mean,SD,Min,Max,Median
detect_prop_15d,76.66622511078526,37.04242141651031,0,100,100
percentile,46.40381323995744,42.04634193895402,0,999,44.8
population_served,128733.78896430744,339018.7570288093,564,4000000,32000
ptc_15d,3101931.3988911672,77398672.33445866,-100,2147483647,0
