county_fips,n,Percent
01005,36,0.0046524912151919345
01015,92,0.011889699772157166
01033,408,0.05272823377217526
01047,43,0.005557142284812589
01073,3655,0.47235709420907
01081,386,0.04988504469622463
01087,43,0.005557142284812589
01089,121,0.015637539917728448
01095,121,0.015637539917728448
01103,121,0.015637539917728448
01109,36,0.0046524912151919345
01111,8,0.001033886936709319
01119,66,0.00852956722785188
01125,66,0.00852956722785188
02020,961,0.12419566827220692
02090,148,0.019126908329122397
02110,750,0.09692690031649864
04005,364,0.047041855620274006
04012,550,0.07107972689876567
04013,5435,0.7023969376268935
04015,534,0.06901195302534703
04019,1600,0.20677738734186374
04027,3437,0.44418367518374113
05007,414,0.053503648974707246
05009,1047,0.1353099528418321
05051,310,0.0400631187974861
05055,372,0.048075742556983325
05119,1660,0.21453153936718367
06001,1152,0.1488797188861419
06007,1039,0.13427606590512278
06013,1784,0.2305567868861781
06015,469,0.060611621664583816
06017,352,0.04549102521521003
"06017,06057,06061",367,0.04742956322154
06019,731,0.09447141884181401
06023,535,0.06914118889243569
06029,731,0.09447141884181401
06033,731,0.09447141884181401
06037,2586,0.3342039522912873
"06037,06111",1152,0.1488797188861419
06041,1637,0.21155911442414435
06047,731,0.09447141884181401
06051,105,0.01356976604430981
06053,1152,0.1488797188861419
"06053,06087",394,0.05091893163293395
06055,1462,0.18894283768362802
06057,267,0.034505976512673515
06059,731,0.09447141884181401
06061,1158,0.1496551340886739
06063,731,0.09447141884181401
06065,1852,0.23934482584820732
06067,696,0.08994816349371074
06069,93,0.012018935639245831
06071,1462,0.18894283768362802
06073,1308,0.16904051415197363
06075,3655,0.47235709420907
06077,268,0.03463521237976218
06079,2758,0.35643252143053766
06081,1041,0.13453453763930012
"06081,06075",2852,0.3685806929368722
06083,1925,0.24877904414567983
06085,2782,0.3595341822406656
06087,2768,0.35772488010142434
06089,1018,0.13156211269626084
06095,846,0.10933354355701047
06097,1051,0.13582689631018674
06099,822,0.1062318827468825
06101,513,0.06629799981648507
06111,969,0.12522955520891624
06113,1454,0.18790895074691868
08003,202,0.0261056451519103
08005,203,0.026234881018998967
"08005,08001",202,0.0261056451519103
08013,202,0.0261056451519103
08031,202,0.0261056451519103
08035,1664,0.21504848283553832
08041,404,0.0522112903038206
08045,202,0.0261056451519103
08059,202,0.0261056451519103
08067,202,0.0261056451519103
08077,203,0.026234881018998967
08089,202,0.0261056451519103
08097,202,0.0261056451519103
08101,203,0.026234881018998967
08107,202,0.0261056451519103
08113,203,0.026234881018998967
08117,202,0.0261056451519103
08123,405,0.052340526170909264
09001,3148,0.40683450959511697
09009,1168,0.15094749275956054
09011,889,0.11489068584182305
10001,591,0.07637839744940092
10003,1182,0.15275679489880184
10005,3662,0.4732617452786907
"11001,24031,51013,24033,51107,51059",232,0.029982721164570243
12001,1106,0.14293486900006333
12011,124,0.01602524751899444
12033,415,0.053632884841795916
12057,337,0.04355248720888005
12071,339,0.043810958943057386
12073,920,0.11889699772157165
"12085,12099",352,0.04549102521521003
12086,1970,0.25459465816466975
12095,5572,0.7201022514180405
"12095,12103",731,0.09447141884181401
"12095,12117",711,0.09188670150004072
12099,1200,0.15508304050639782
12103,1729,0.22344881419630153
12109,339,0.043810958943057386
12115,309,0.039933882930397444
12127,128,0.016542190987349104
13031,37,0.004781727082280599
13059,731,0.09447141884181401
13063,650,0.08400331360763215
13067,1462,0.18894283768362802
"13083,47065,13295,13047",583,0.07534451051269161
13095,651,0.08413254947472082
13097,590,0.07624916158231226
13115,731,0.09447141884181401
13117,731,0.09447141884181401
13121,5117,0.6612999318926981
13135,731,0.09447141884181401
13153,412,0.05324517724052992
"13215,13053",731,0.09447141884181401
13217,731,0.09447141884181401
13223,1462,0.18894283768362802
13225,140,0.01809302139241308
13245,62,0.00801262375949722
15001,422,0.054537535911416565
15003,2828,0.3654790321267442
15009,968,0.12510031934182758
16001,1714,0.22151027618997157
16055,731,0.09447141884181401
16057,177,0.022874748474693677
17001,731,0.09447141884181401
17007,731,0.09447141884181401
17011,1462,0.18894283768362802
17015,731,0.09447141884181401
17017,731,0.09447141884181401
17019,1298,0.16774815548108699
17021,731,0.09447141884181401
17031,10635,1.3744234464879508
17037,731,0.09447141884181401
17043,7310,0.94471418841814
17049,731,0.09447141884181401
17057,731,0.09447141884181401
17061,731,0.09447141884181401
17075,731,0.09447141884181401
17085,731,0.09447141884181401
17089,1175,0.1518521438291812
17091,731,0.09447141884181401
17093,941,0.12161095093043363
17095,731,0.09447141884181401
17097,2924,0.37788567536725604
17099,731,0.09447141884181401
17101,731,0.09447141884181401
17103,731,0.09447141884181401
17109,731,0.09447141884181401
17111,3655,0.47235709420907
17115,731,0.09447141884181401
17117,731,0.09447141884181401
17119,731,0.09447141884181401
17137,731,0.09447141884181401
17143,731,0.09447141884181401
17145,731,0.09447141884181401
17157,731,0.09447141884181401
17161,1462,0.18894283768362802
17163,2924,0.37788567536725604
17167,1402,0.18118868565830812
17173,731,0.09447141884181401
17177,731,0.09447141884181401
17179,731,0.09447141884181401
17183,731,0.09447141884181401
17187,731,0.09447141884181401
17189,731,0.09447141884181401
17195,731,0.09447141884181401
17197,731,0.09447141884181401
17201,731,0.09447141884181401
18003,514,0.06642723568357373
18005,147,0.01899767246203373
18019,2193,0.283414256525442
18035,541,0.0699166040949677
18037,541,0.0699166040949677
18039,741,0.09576377751270065
18057,1650,0.213239180696297
18067,514,0.06642723568357373
18073,731,0.09447141884181401
18085,526,0.06797806608863771
18089,600,0.07754152025319891
18093,429,0.05544218698103722
18097,731,0.09447141884181401
