county_names,n,Percent
Sherburne,731,0.09447141884181401
"Sherburne,Benton,Stearns",1384,0.17886244005071217
Sheridan,940,0.12148171506334497
Silver Bow,288,0.037219929721535476
Skagit,940,0.12148171506334497
Smith,535,0.06914118889243569
Snohomish,1901,0.2456773833355519
Solano,846,0.10933354355701047
Somerset,1170,0.15120596449373788
Sonoma,1051,0.13582689631018674
Spokane,1462,0.18894283768362802
St Joseph,1266,0.1636126077342497
Stafford,2314,0.2990517964431704
"Stafford,Prince William",646,0.0834863701392775
Stanislaus,822,0.1062318827468825
"Stanton,Madison",616,0.07960929412661755
Stark,486,0.06280863140509112
Stephenson,731,0.09447141884181401
Steuben,1462,0.18894283768362802
Strafford,1463,0.18907207355071667
Suffolk,5742,0.7420723488231136
"Suffolk,Middlesex",140,0.01809302139241308
"Suffolk,Middlesex,Norfolk",140,0.01809302139241308
"Suffolk,Middlesex,Worcester,Plymouth,Norfolk",731,0.09447141884181401
Sullivan,2234,0.28871292707607726
Summit,812,0.10493952407599587
Sumter,66,0.00852956722785188
Sussex,4187,0.5411105755002398
Sutter,513,0.06629799981648507
"Swain,Jackson",364,0.047041855620274006
Sweetwater,931,0.12031859225954697
Tangipahoa,693,0.08956045589244474
Tarrant,239,0.0308873722341909
Taylor,956,0.1235494889367636
Tazewell,1377,0.1779577889810915
Terrebonne,1462,0.18894283768362802
Teton,661,0.08542490814560746
Thurston,731,0.09447141884181401
Tillamook,731,0.09447141884181401
Tioga,731,0.09447141884181401
Tippecanoe,542,0.07004583996205635
Tompkins,1968,0.25433618643049244
Tooele,63,0.008141859626585885
Travis,801,0.10351792953802055
Trumbull,486,0.06280863140509112
Tulsa,2193,0.283414256525442
Tuscaloosa,66,0.00852956722785188
Tuscarawas,486,0.06280863140509112
Tuscola,731,0.09447141884181401
Uintah,63,0.008141859626585885
Ulster,2148,0.2775986425064521
Umatilla,1462,0.18894283768362802
Union,1772,0.2290059564811141
Utah,1167,0.15081825689247189
"Utah,Salt Lake",63,0.008141859626585885
Vanderburgh,487,0.06293786727217979
Ventura,969,0.12522955520891624
"Ventura,Los Angeles",1152,0.1488797188861419
Vermilion,731,0.09447141884181401
Vernon,1682,0.21737472844313427
Victoria,218,0.02817341902532894
Vigo,534,0.06901195302534703
"Virginia Beach City,Chesapeake City",646,0.0834863701392775
"Virginia Beach City,Norfolk City,Portsmouth City,Chesapeake City",646,0.0834863701392775
Volusia,128,0.016542190987349104
Wake,3365,0.4348786927533572
Waldo,149,0.019256144196211064
Walla Walla,731,0.09447141884181401
Walworth,731,0.09447141884181401
Wapello,731,0.09447141884181401
Warren,1800,0.23262456075959673
Warrick,163,0.02106544633545237
Wasatch,126,0.01628371925317177
Wasco,731,0.09447141884181401
Washington,10836,1.4003998557727724
Washoe,754,0.0974438437848533
Washtenaw,2193,0.283414256525442
Watauga,379,0.048980393626603974
Waukesha,164,0.021194682202541035
"Waukesha,Jefferson",731,0.09447141884181401
Waupaca,1462,0.18894283768362802
Wayne,2442,0.31559398743051953
Webb,2497,0.32270196012039615
"Weber,Davis",126,0.01628371925317177
Webster,731,0.09447141884181401
Weld,405,0.052340526170909264
West Baton Rouge,681,0.08800962548738077
Westchester,5117,0.6612999318926981
Westmoreland,113,0.014603652981019129
"Westmoreland,Armstrong",114,0.014732888848107792
Whiteside,731,0.09447141884181401
Whitman,731,0.09447141884181401
Wichita,731,0.09447141884181401
Will,731,0.09447141884181401
Williams,486,0.06280863140509112
Wilson,1051,0.13582689631018674
Windsor,330,0.042647836139259404
Winnebago,1462,0.18894283768362802
Wood,1703,0.22008868165199624
Woodward,731,0.09447141884181401
Worcester,1011,0.13065746162664016
"Worcester,Providence,Norfolk",147,0.01899767246203373
Wyandot,486,0.06280863140509112
Wyandotte,2193,0.283414256525442
Wyoming,731,0.09447141884181401
Yakima,731,0.09447141884181401
Yamhill,731,0.09447141884181401
Yankton,631,0.08154783213294751
Yates,731,0.09447141884181401
Yolo,1454,0.18790895074691868
York,1848,0.23882788237985264
Yuma,3437,0.44418367518374113
